"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2009","3,549.02","3,471.07","3,566.43","3,455.67","","2.63%"
"11/01/2009","3,458.15","3,420.32","3,580.34","3,351.96","","1.11%"
"10/01/2009","3,420.13","3,504.10","3,641.04","3,337.36","","-2.16%"
"09/01/2009","3,495.48","3,333.83","3,514.53","3,209.37","","4.71%"
"08/01/2009","3,338.35","3,028.65","3,370.33","3,028.65","","10.76%"
"07/01/2009","3,014.16","2,907.58","3,014.16","2,767.97","","3.77%"
"06/01/2009","2,904.78","2,919.22","3,008.31","2,767.06","","0.05%"
"05/01/2009","2,903.28","2,691.90","2,919.37","2,691.90","","8.12%"
"04/01/2009","2,685.18","2,368.46","2,712.75","2,348.28","","13.09%"
"03/01/2009","2,374.46","2,299.86","2,391.09","2,149.33","","2.03%"
"02/01/2009","2,327.21","2,554.49","2,594.07","2,210.37","","-9.36%"
"01/01/2009","2,567.59","2,829.67","2,867.99","2,446.20","","-8.32%"
"12/01/2008","2,800.73","2,572.15","2,821.89","2,444.24","","9.28%"
"11/01/2008","2,562.97","2,708.49","2,907.24","2,411.64","","-4.73%"
"10/01/2008","2,690.13","3,422.62","3,427.74","2,423.46","","-20.79%"
"09/01/2008","3,396.37","4,116.16","4,172.10","3,247.74","","-17.54%"
"08/01/2008","4,118.58","4,173.38","4,213.56","3,996.11","","-1.52%"
"07/01/2008","4,182.36","4,245.57","4,253.61","3,926.01","","-1.41%"
"06/01/2008","4,242.04","4,809.91","4,836.59","4,197.21","","-11.47%"
"05/01/2008","4,791.88","4,704.91","4,917.03","4,664.34","","2.25%"
"04/01/2008","4,686.40","4,501.85","4,714.70","4,387.12","","4.41%"
"03/01/2008","4,488.35","4,657.51","4,665.51","4,235.79","","-4.24%"
"02/01/2008","4,687.28","4,576.00","4,878.61","4,491.60","","3.13%"
"01/01/2008","4,544.96","5,197.86","5,273.48","3,865.71","","-12.45%"
"12/01/2007","5,191.56","5,351.70","5,416.19","5,054.44","","-2.86%"
"11/01/2007","5,344.14","5,923.82","5,927.23","4,939.65","","-9.76%"
"10/01/2007","5,922.16","5,743.60","6,034.70","5,733.57","","3.25%"
"09/01/2007","5,735.88","5,954.74","6,041.41","5,630.04","","-3.39%"
"08/01/2007","5,936.93","6,165.34","6,186.15","5,374.05","","-4.38%"
"07/01/2007","6,208.58","6,473.91","6,683.98","5,935.65","","-4.18%"
"06/01/2007","6,479.32","6,496.13","6,544.32","6,142.81","","-0.22%"
"05/01/2007","6,493.69","6,417.04","6,512.75","6,339.07","","1.17%"
"04/01/2007","6,418.68","6,120.86","6,460.20","6,108.83","","4.94%"
"03/01/2007","6,116.81","5,823.29","6,123.66","5,486.67","","5.21%"
"02/01/2007","5,813.79","5,878.41","6,218.69","5,517.88","","-0.98%"
"01/01/2007","5,871.25","5,585.08","5,899.90","5,577.33","","5.46%"
"12/01/2006","5,567.36","5,242.48","5,575.37","5,226.36","","6.24%"
"11/01/2006","5,240.51","5,051.41","5,255.69","5,041.28","","3.56%"
"10/01/2006","5,060.36","4,934.81","5,083.20","4,922.49","","2.64%"
"09/01/2006","4,930.43","4,757.54","4,932.41","4,743.36","","3.56%"
"08/01/2006","4,760.89","4,648.76","4,760.89","4,571.09","","2.50%"
"07/01/2006","4,644.65","4,715.90","4,750.00","4,410.99","","-1.05%"
"06/01/2006","4,694.02","4,853.12","4,956.83","4,382.83","","-3.06%"
"05/01/2006","4,842.37","5,292.49","5,471.34","4,551.02","","-8.60%"
"04/01/2006","5,297.93","5,113.64","5,323.04","5,089.92","","3.55%"
"03/01/2006","5,116.33","4,897.79","5,116.76","4,813.83","","4.19%"
"02/01/2006","4,910.78","4,608.72","4,947.69","4,607.38","","6.39%"
"01/01/2006","4,615.80","4,246.10","4,638.16","4,240.20","","8.64%"
"12/01/2005","4,248.90","4,165.56","4,248.90","4,150.45","","2.26%"
"11/01/2005","4,154.87","4,082.32","4,183.15","4,041.88","","1.82%"
"10/01/2005","4,080.51","4,291.18","4,333.70","4,009.67","","-4.77%"
"09/01/2005","4,285.00","4,120.59","4,285.00","4,117.49","","4.07%"
"08/01/2005","4,117.56","4,027.41","4,117.56","4,022.12","","2.28%"
"07/01/2005","4,025.63","3,799.56","4,025.67","3,711.35","","5.88%"
"06/01/2005","3,801.92","3,585.83","3,809.85","3,580.25","","6.15%"
"05/01/2005","3,581.49","3,466.14","3,596.85","3,427.59","","3.45%"
"04/01/2005","3,462.01","3,554.15","3,647.74","3,438.21","","-2.54%"
"03/01/2005","3,552.08","3,569.06","3,648.75","3,491.19","","-0.41%"
"02/01/2005","3,566.78","3,366.27","3,576.99","3,366.27","","5.97%"
"01/01/2005","3,365.88","3,143.65","3,369.18","3,126.88","","7.07%"
"12/01/2004","3,143.69","3,069.67","3,144.86","3,053.73","","2.18%"
"11/01/2004","3,076.65","2,937.78","3,077.41","2,933.95","","4.75%"
"10/01/2004","2,937.14","2,860.43","2,937.68","2,850.40","","2.64%"
"09/01/2004","2,861.71","2,766.60","2,872.44","2,750.91","","3.41%"
"08/01/2004","2,767.24","2,852.17","2,854.45","2,669.38","","-2.77%"
"07/01/2004","2,846.04","2,954.14","2,962.02","2,805.86","","-3.79%"
"06/01/2004","2,958.22","2,818.65","2,958.22","2,805.10","","4.91%"
"05/01/2004","2,819.76","2,917.81","2,921.24","2,734.81","","-3.20%"
"04/01/2004","2,912.91","2,922.98","2,982.56","2,885.07","","-0.43%"
"03/01/2004","2,925.38","2,962.70","3,015.80","2,781.34","","-1.16%"
"02/01/2004","2,959.66","2,828.53","2,996.94","2,822.29","","4.87%"
"01/01/2004","2,822.31","2,580.43","2,832.35","2,580.43","","9.14%"
"12/01/2003","2,586.07","2,608.02","2,627.39","2,528.97","","-0.68%"
"11/01/2003","2,603.75","2,552.60","2,613.97","2,547.41","","1.89%"
"10/01/2003","2,555.37","2,434.69","2,555.37","2,393.84","","4.76%"
"09/01/2003","2,439.37","2,405.22","2,528.72","2,402.33","","1.45%"
"08/01/2003","2,404.59","2,334.41","2,406.06","2,316.28","","2.91%"
"07/01/2003","2,336.64","2,170.61","2,341.59","2,130.02","","7.64%"
"06/01/2003","2,170.79","2,043.62","2,177.87","2,037.79","","6.73%"
"05/01/2003","2,033.98","1,957.54","2,043.17","1,954.75","","4.39%"
"04/01/2003","1,948.49","1,698.70","1,953.07","1,694.23","","14.98%"
"03/01/2003","1,694.58","1,702.84","1,722.45","1,607.82","","-0.14%"
"02/01/2003","1,697.02","1,684.36","1,724.15","1,660.15","","0.76%"
"01/01/2003","1,684.30","1,708.04","1,760.01","1,663.39","","-1.46%"
"12/01/2002","1,709.28","1,809.98","1,822.11","1,629.98","","-5.50%"
"11/01/2002","1,808.72","1,809.89","1,829.31","1,772.33","","-0.11%"
"10/01/2002","1,810.64","1,807.63","1,830.08","1,704.37","","-0.06%"
"09/01/2002","1,811.79","2,144.20","2,147.30","1,808.56","","-15.47%"
"08/01/2002","2,143.46","2,156.08","2,169.86","2,080.38","","-0.48%"
"07/01/2002","2,153.84","2,365.06","2,378.82","2,083.05","","-8.96%"
"06/01/2002","2,365.69","2,495.23","2,495.23","2,334.16","","-4.92%"
"05/01/2002","2,488.22","2,455.06","2,494.64","2,442.99","","1.51%"
"04/01/2002","2,451.19","2,462.19","2,483.58","2,439.06","","-0.38%"
"03/01/2002","2,460.56","2,427.68","2,466.02","2,407.59","","1.53%"
"02/01/2002","2,423.59","2,414.80","2,442.86","2,380.73","","0.31%"
"01/01/2002","2,416.16","2,375.13","2,432.47","2,374.81","","2.16%"
"12/01/2001","2,365.18","2,434.77","2,435.29","2,322.89","","-2.81%"
"11/01/2001","2,433.44","2,377.90","2,455.42","2,367.32","","1.97%"
"10/01/2001","2,386.35","2,264.34","2,386.35","2,232.67","","5.87%"
"09/01/2001","2,254.01","2,610.52","2,611.72","2,116.23","","-13.65%"
"08/01/2001","2,610.18","2,728.80","2,757.68","2,605.26","","-4.20%"
"07/01/2001","2,724.75","2,954.35","2,958.35","2,701.53","","-7.52%"
"06/01/2001","2,946.30","3,059.03","3,088.32","2,931.12","91.40K","-3.58%"
"05/01/2001","3,055.61","3,015.27","3,088.61","2,992.97","177.17K","1.30%"
"04/01/2001","3,016.40","2,979.95","3,016.40","2,852.14","156.18K","1.32%"
"03/01/2001","2,977.05","3,172.10","3,183.11","2,936.79","185.23K","-6.18%"
"02/01/2001","3,173.13","3,190.74","3,244.15","3,110.65","166.11K","-0.48%"
"01/01/2001","3,188.45","3,072.14","3,210.72","3,026.72","188.52K","3.75%"
"12/01/2000","3,073.23","3,097.53","3,160.80","3,021.20","159.18K","-0.67%"
"11/01/2000","3,094.10","3,298.15","3,331.75","3,081.14","172.95K","-6.25%"
"10/01/2000","3,300.41","3,334.81","3,335.93","3,165.70","160.06K","-1.08%"
"09/01/2000","3,336.35","3,458.25","3,474.49","3,329.90","161.48K","-3.50%"
"08/01/2000","3,457.45","3,381.22","3,459.31","3,337.67","185.35K","2.26%"
"07/01/2000","3,380.94","3,269.26","3,413.28","3,268.27","175.52K","3.49%"
"06/01/2000","3,266.90","3,355.26","3,393.49","3,255.16","173.52K","-3.00%"
"05/01/2000","3,367.78","3,391.16","3,469.96","3,322.08","176.62K","-0.48%"
"04/01/2000","3,383.99","3,355.06","3,420.54","3,208.87","142.13K","1.14%"
"03/01/2000","3,345.93","3,099.40","3,379.01","3,098.26","191.85K","8.13%"
"02/01/2000","3,094.34","3,087.29","3,242.40","3,080.71","173.89K","0.12%"
"01/01/2000","3,090.53","2,902.20","3,102.80","2,867.21","161.87K","6.96%"
