;PIMCO GIS Income E Cl EUR Hgd Inc;M&G Optimal Income EUR A-H Gross Acc (Hedged);Carmignac Patrimoine A EUR acc;DWS Top Dividende LD;Nordea 1 - Stable Return BP EUR;PrivatFonds: Kontrolliert;Flossbach von Storch - Multiple Opportunities R;iShares Core DAX UCITS (DE) ETF;DWS Deutschland LC;Allianz Europe Equity Growth AT-EUR
Date;;;;;;;;;;
28-Feb-2001;;;-0,0215;;;;;-0,0730;-0,0925;
31-Mar-2001;;;0,0028;;;;;-0,0555;-0,0689;
30-Apr-2001;;;0,0097;;;;;0,0619;0,0458;
31-May-2001;;;0,0066;;;;;-0,0238;-0,0310;
30-Jun-2001;;;-0,0142;;;;;-0,0164;-0,0384;
31-Jul-2001;;;-0,0234;;;;;-0,0333;-0,0476;
31-Aug-2001;;;-0,0141;;;;;-0,1113;-0,0808;
30-Sep-2001;;;-0,0229;;;;;-0,1734;-0,1855;
31-Oct-2001;;;0,0208;;;;;0,0754;0,0642;
30-Nov-2001;;;0,0156;;;;;0,0825;0,1006;
31-Dec-2001;;;0,0015;;;;;0,0366;0,0210;
31-Jan-2002;;;0,0111;;;;;-0,0109;-0,0081;
28-Feb-2002;;;-0,0031;;;;;-0,0153;-0,0338;
31-Mar-2002;;;0,0037;;;;;0,0755;0,0788;
30-Apr-2002;;;0,0012;;;;;-0,0867;-0,0775;
31-May-2002;;;-0,0021;;;;;-0,0299;-0,0465;
30-Jun-2002;;;-0,0188;;;;;-0,1016;-0,0992;
31-Jul-2002;;;-0,0010;;;;;-0,1208;-0,1115;
31-Aug-2002;;;0,0044;;;;;-0,0470;-0,0566;
30-Sep-2002;;;0,0061;;;;;-0,2411;-0,1927;
31-Oct-2002;;;0,0200;;;;;0,1478;0,1130;
30-Nov-2002;;;0,0143;;;;;0,0684;0,0481;
31-Dec-2002;;;0,0147;;;;;-0,1448;-0,1274;
31-Jan-2003;;;0,0130;;;;;-0,0633;-0,0770;
28-Feb-2003;;;-0,0054;;;;;-0,0560;-0,0491;
31-Mar-2003;;;0,0126;;;;;-0,0522;-0,0144;
30-Apr-2003;;;0,0091;-0,0036;;;;0,2212;0,2104;
31-May-2003;;;0,0290;0,0169;;;;-0,0023;0,0197;
30-Jun-2003;;;0,0122;0,0588;;;;0,1002;0,1054;
31-Jul-2003;;;0,0073;0,0283;;;;0,0676;0,0493;
31-Aug-2003;;;0,0212;0,0433;;;;0,0073;0,0303;
30-Sep-2003;;;-0,0042;-0,0415;;;;-0,0728;-0,0460;
31-Oct-2003;;;0,0175;0,0479;;;;0,1224;0,0924;
30-Nov-2003;;;-0,0007;0,0000;;;;0,0221;0,0202;
31-Dec-2003;;;0,0179;0,0318;;;;0,0624;0,0573;
31-Jan-2004;;;0,0128;0,0286;;;;0,0240;0,0439;
29-Feb-2004;;;0,0158;0,0244;;;;-0,0060;-0,0049;
31-Mar-2004;;;0,0110;0,0041;;;;-0,0372;-0,0416;
30-Apr-2004;;;-0,0352;0,0052;;;;0,0250;0,0162;
31-May-2004;;;-0,0205;-0,0098;;;;-0,0181;-0,0253;
30-Jun-2004;;;0,0082;0,0299;;;;0,0401;0,0483;
31-Jul-2004;;;0,0041;0,0069;;;;-0,0479;-0,0556;
31-Aug-2004;;;0,0104;0,0097;;;;-0,0172;-0,0263;
30-Sep-2004;;;0,0086;0,0282;;;;0,0234;0,0356;
31-Oct-2004;;;-0,0151;0,0106;;;;0,0184;-0,0033;
30-Nov-2004;;;0,0273;0,0417;;;;0,0419;0,0552;
31-Dec-2004;;;0,0069;0,0110;;;;0,0246;0,0266;
31-Jan-2005;;;0,0160;0,0175;;;;-0,0007;0,0030;
28-Feb-2005;;;0,0274;0,0299;;;;0,0245;0,0381;
31-Mar-2005;;;-0,0126;-0,0104;;;;0,0000;0,0095;
30-Apr-2005;;;-0,0137;-0,0180;;;;-0,0357;-0,0468;
31-May-2005;;;0,0257;0,0491;;;;0,0606;0,0619;
30-Jun-2005;;;0,0300;0,0363;;;;0,0316;0,0291;
31-Jul-2005;;;0,0221;0,0239;;;;0,0647;0,0624;
31-Aug-2005;;;0,0171;-0,0017;;;;-0,0174;-0,0218;
30-Sep-2005;;;0,0408;0,0322;;;;0,0452;0,0418;
31-Oct-2005;;;-0,0135;-0,0349;;;;-0,0251;-0,0359;
30-Nov-2005;;;0,0262;0,0317;0,0100;;;0,0579;0,0704;
31-Dec-2005;;;0,0305;0,0243;0,0030;;;0,0412;0,0478;
31-Jan-2006;;;0,0402;0,0369;-0,0049;;;0,0489;0,0538;
28-Feb-2006;;;-0,0173;0,0261;0,0218;;;0,0214;0,0403;
31-Mar-2006;;;0,0080;0,0072;-0,0039;;;0,0299;0,0075;
30-Apr-2006;;;0,0203;0,0090;-0,0039;;;0,0066;0,0066;
31-May-2006;;;-0,0361;-0,0464;-0,0176;;;-0,0530;-0,0778;
30-Jun-2006;;;0,0030;0,0048;0,0090;;;-0,0016;0,0043;
31-Jul-2006;;;-0,0067;0,0268;0,0079;;;-0,0004;0,0070;
31-Aug-2006;;;0,0006;0,0188;0,0118;;;0,0311;0,0292;
30-Sep-2006;;;-0,0028;0,0112;0,0145;;;0,0245;0,0291;
31-Oct-2006;;;0,0143;0,0424;0,0181;;;0,0441;0,0509;0,0023
30-Nov-2006;;;0,0156;0,0086;0,0056;;;0,0063;0,0172;0,0064
31-Dec-2006;;;0,0066;0,0256;0,0140;;;0,0454;0,0416;0,0282
31-Jan-2007;;;-0,0004;0,0156;0,0018;;;0,0291;0,0384;0,0185
28-Feb-2007;;;-0,0065;-0,0250;-0,0009;;;-0,0110;-0,0116;-0,0222
31-Mar-2007;;;-0,0087;0,0248;0,0046;;;0,0299;0,0281;0,0310
30-Apr-2007;;0,0011;0,0089;0,0374;0,0101;;;0,0710;0,0926;0,0454
31-May-2007;;0,0050;0,0279;0,0360;0,0063;;;0,0638;0,0566;0,0190
30-Jun-2007;;-0,0081;0,0026;-0,0079;-0,0108;;;0,0156;0,0015;-0,0106
31-Jul-2007;;-0,0149;0,0289;-0,0319;-0,0127;;;-0,0529;-0,0518;-0,0050
31-Aug-2007;;-0,0009;-0,0271;-0,0065;0,0074;;;0,0069;-0,0082;-0,0119
30-Sep-2007;;0,0085;0,0467;0,0286;0,0082;;;0,0291;0,0308;0,0319
