Dec-00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DATE;PRIVATE CAPITAL;NATURAL RESOURCES;REAL ESTATE OPPORTUNISTIC;REAL ESTATE VALUE ADDED;PRIVATE EQUITY;REAL ESTATE;BUYOUT;GROWTH;DISTRESSED PRIVATE EQUITY;FUNDS OF FUNDS;VENTURE;S&P 500 TOTAL RETURN;VENTURE ALL STAGE;VENTURE EARLY STAGE;VENTURE EXPANSION;Buyout - Small;Buyout - Mid;Buyout - Large;Buyout - Mega;MSCI Emerging Markets TR;MSCI Europe Standard TR;MSCI US REIT TR;MSCI World TR;Private Capital - Asia;Private Capital - Europe;Private Capital - North America;Private Debt - Mezzanine;Private Equity excl. VC;Russell 2000 TR;Russell 3000 TR;Secondaries;Private Debt;Private Debt - Distressed Debt
Jun-03;82,4;98,6;109,5;112,4;75,2;118,7;87,3;62,1;135,8;65;42,7;78,9;37,7;46,2;74;86,1;82,1;91,1;88,6;106,6;73,2;133,2;74,9;131,5;121,3;78,5;93,5;86,2;100,4;81;97,1;116,8;140,3
Sep-03;84,5;101,1;110,3;118,6;77,1;122,7;89,9;68;138,4;73,2;41,8;81;36,7;44,8;75;92;80,7;90,8;93,8;121,7;76,1;146,1;78,6;139,9;127,1;80,2;97;89,2;109,6;83,8;97,8;120,3;142,8
Dec-03;90,5;111,9;114,3;124,1;83,1;128,4;99,2;68,3;146,7;75;42,1;90,9;36,8;44,9;79,1;98,5;85,2;103;103,6;143,4;91,6;159,9;89,8;146;143,2;85,3;99,4;97,4;125,5;94,2;101,6;125,7;151,4
Mar-04;93,2;111,5;118,1;127,3;85,3;132,3;101;71,1;159,6;79,4;43,2;92,4;37,9;45,6;80,6;99,5;86,1;106,7;104,4;157,4;92,5;179,2;92,3;151,3;150,5;87,6;104,1;99,9;133,3;96,3;115,1;134,7;165,4
Jun-04;95,8;117;119,2;133,5;87,4;140,2;105;70;161,4;72,9;43,2;94;37,9;45,1;83,4;100,8;88,3;112,6;108,2;142,3;94,7;168,2;93,2;149,5;164,9;89,3;106,1;102,9;133,9;97,6;123,9;136,8;167,5
Sep-04;99,2;120,3;122,7;137,9;90,3;145,5;110;73,5;173,8;74,1;43,2;92,3;38;45,2;81,9;107,4;92,9;114,9;115;154;95,9;182,3;92,4;157,4;174,8;92,2;110,9;107,1;130,1;95,8;130,3;145,2;183
Dec-04;108,7;135,3;136;144,9;98,9;157,2;122,8;85,7;206,3;78,2;44,2;100,8;38,9;45,4;86;115;107,9;128,6;126,8;180,6;111,2;210,3;103,5;170,9;196,2;100,7;114;119;148,5;105,5;139,8;160,7;218,1
Mar-05;111,2;146,3;139;158,7;100,4;167,5;125,5;84,6;216,9;80,1;43,2;98,6;38,3;44;83;122,3;111,6;130,2;129,6;184,1;111,8;194,6;102,5;171,8;196;103,4;120,6;121,7;140,5;103,2;151,4;170;229
Jun-05;118;186,5;143,5;171,7;106,2;181,5;134,9;86,1;217;81,4;43,6;100;38,4;44,7;84,8;126,3;119,1;137,3;141,3;191,9;111,2;223,6;103,1;177,1;209,2;109,8;123,5;130,1;146,6;105,5;151,2;171;227,1
Sep-05;124,7;201;150,3;180,3;111,9;195,1;142,5;88,3;221,5;86,6;45,4;103,6;39,7;46,5;90,6;127,4;125,4;143,7;150,2;226,7;119,8;231,7;110,4;186,7;216,3;116,5;130;137,6;153,5;109,7;156,9;176,7;232
