Date;Bloomberg Euro Aggregate Corporate Total Return Index EU;Change;% Change;Bloomberg Euro Aggregate Treasury Germany Total Return Index;Change;% Change;Bloomberg Baa Corporate Total Return Index;Change;% Change;Bloomberg Global Treasury Total Return Index;Change;% Change;Bloomberg Global Agg Corporate Total Return Index;Change;% Change;;;;;
31.08.2018;246,0301;0,03;0,012195117;243,8003;1,6288;0,672581208;808,8414;3,4228;0,424971561;596,2946;-0,2213;-0,03709876;252,8477;0,5435;0,215414567;;;;;
31.07.2018;246,0001;0,6825;0,278210777;242,1715;-1,3935;-0,572126537;805,4186;8,2461;1,034418523;596,5159;-3,1086;-0,518424447;252,3042;1,5201;0,606138906;;;;;
29.06.2018;245,3176;-0,1128;-0,045960077;243,565;0,2387;0,098098726;797,1725;-5,3048;-0,661052967;599,6245;-3,5815;-0,593744094;250,7841;-1,219;-0,483724208;;;;;
31.05.2018;245,4304;-0,6057;-0,246183385;243,3263;4,0206;1,680110419;802,4773;3,4379;0,430254128;603,206;-5,8221;-0,955965743;252,0031;-1,9401;-0,763989743;;;;;
30.04.2018;246,0361;0,1034;0,042044023;239,3057;-1,136;-0,472463803;799,0394;-7,5982;-0,941959562;609,0281;-12,4741;-2,007088631;253,9432;-2,9197;-1,136676414;;;;;
30.03.2018;245,9327;-0,2551;-0,103620082;240,4417;2,6792;1,126838757;806,6376;1,2918;0,160403146;621,5022;8,8952;1,452023891;256,8629;1,1002;0,430164367;;;;;
28.02.2018;246,1878;-0,0558;-0,022660487;237,7625;0,4343;0,182995531;805,3458;-13,5303;-1,652301246;612,607;-2,3365;-0,379953605;255,7627;-4,7602;-1,827171431;;;;;
31.01.2018;246,2436;-0,6614;-0,267876309;237,3282;-2,5437;-1,06044101;818,8761;-5,4591;-0,662242738;614,9435;10,899;1,804337263;260,5229;1,5082;0,582283554;;;;;
29.12.2017;246,905;-0,7086;-0,28617168;239,8719;-1,1989;-0,497322778;824,3352;7,8494;0,961363933;604,0445;0,6519;0,108039111;259,0147;2,0637;0,803149239;;;;;
30.11.2017;247,6136;-0,4266;-0,17198825;241,0708;-0,1798;-0,074528312;816,4858;-1,4453;-0,176701925;603,3926;9,1422;1,538442381;256,951;1,4267;0,558342201;;;;;
31.10.2017;248,0402;2,7103;1,104757308;241,2506;1,4486;0,604081701;817,9311;3,7517;0,46079525;594,2504;-3,3053;-0,55313672;255,5243;0,1844;0,072217464;;;;;
29.09.2017;245,3299;-0,4987;-0,202864923;239,802;-1,8439;-0,763058674;814,1794;-0,1989;-0,024423539;597,5557;-7,877;-1,301052949;255,3399;-0,6334;-0,247447683;;;;;
31.08.2017;245,8286;1,3433;0,549439987;241,6459;3,1513;1,321329707;814,3783;5,3119;0,656546854;605,4327;6,3394;1,058165731;255,9733;2,0683;0,81459601;;;;;
31.07.2017;244,4853;1,8916;0,779739952;238,4946;-0,1169;-0,048991771;809,0664;6,5864;0,820755657;599,0933;10,8383;1,842449278;253,905;4,1729;1,670950591;;;;;
30.06.2017;242,5937;-1,3545;-0,555240826;238,6115;-2,8175;-1,167009763;802,48;2,6009;0,32516164;588,255;-2,3056;-0,390408707;249,7321;1,0477;0,421297034;;;;;
31.05.2017;243,9482;0,9105;0,374633236;241,429;-0,1358;-0,0562168;799,8791;9,7962;1,239895206;590,5606;9,182;1,579349498;248,6844;4,0904;1,672322297;;;;;
28.04.2017;243,0377;1,3024;0,538771127;241,5648;0,1893;0,078425524;790,0829;8,9353;1,143868329;581,3786;6,6349;1,154410218;244,594;3,3777;1,400278505;;;;;
31.03.2017;241,7353;-0,8807;-0,363001616;241,3755;-2,4774;-1,015940348;781,1476;-1,7548;-0,224140327;574,7437;1,2552;0,218870997;241,2163;-0,051;-0,021138381;;;;;
28.02.2017;242,616;2,8871;1,204318712;243,8529;3,7708;1,570629381;782,9024;9,4128;1,216926511;573,4885;3,0969;0,542942778;241,2673;1,7504;0,730804382;;;;;
31.01.2017;239,7289;-1,3604;-0,564272243;240,0821;-3,1081;-1,278053145;773,4896;3,7596;0,488431008;570,3916;7,4;1,314406822;239,5169;2,0835;0,87750923;;;;;
30.12.2016;241,0893;1,5196;0,634303921;243,1902;0,6765;0,278953313;769,73;6,333;0,829581463;562,9916;-5,1727;-0,91042327;237,4334;1,085;0,459068054;;;;;
30.11.2016;239,5697;-2,653;-1,095273069;242,5137;-1,687;-0,690825211;763,397;-20,8876;-2,6632679;568,1643;-29,6988;-4,967491722;236,3484;-6,9108;-2,840920302;;;;;
31.10.2016;242,2227;-1,7847;-0,731412244;244,2007;-5,1138;-2,051144237;784,2846;-5,0174;-0,635675572;597,8631;-22,6416;-3,648900645;243,2592;-4,5292;-1,827849891;;;;;
